NO_OF_FRAMES	519
NO_OF_CAMERAS	8
NO_OF_MARKERS	19
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-03-21, 16:32:58	451699.34750673
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005	New 0006	New 0007	New 0008	New 0009	New 0010	New 0011	New 0012	New 0013	New 0014	New 0015	New 0016	New 0017	New 0018
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	New 0006 X	New 0006 Y	New 0006 Z	New 0007 X	New 0007 Y	New 0007 Z	New 0008 X	New 0008 Y	New 0008 Z	New 0009 X	New 0009 Y	New 0009 Z	New 0010 X	New 0010 Y	New 0010 Z	New 0011 X	New 0011 Y	New 0011 Z	New 0012 X	New 0012 Y	New 0012 Z	New 0013 X	New 0013 Y	New 0013 Z	New 0014 X	New 0014 Y	New 0014 Z	New 0015 X	New 0015 Y	New 0015 Z	New 0016 X	New 0016 Y	New 0016 Z	New 0017 X	New 0017 Y	New 0017 Z	New 0018 X	New 0018 Y	New 0018 Z	
674	2.80833	467.017	-17.218	-1880.190	438.144	34.778	-1982.210	480.651	440.607	-1891.853	560.168	1371.770	-1932.957	635.595	1033.341	-1980.248	480.295	1612.194	-1903.716	373.076	1408.622	-2006.403	359.203	926.766	-2070.126	84.277	815.107	-1994.663	97.976	1053.249	-2040.614	182.323	1366.908	-1939.594	625.989	813.117	-1892.221	375.494	1192.843	-2056.817	182.726	823.514	-1956.183	527.581	830.390	-1969.223	292.232	1638.620	-1888.749	194.707	456.109	-1816.339	272.181	162.154	-2083.101	248.180	44.294	-2050.385
675	2.81250	466.978	-17.242	-1880.096	438.710	35.452	-1980.964	480.639	440.461	-1891.019	560.136	1372.064	-1926.894	634.983	1033.677	-1971.877	480.176	1613.700	-1897.982	372.976	1409.358	-2001.140	359.129	928.018	-2063.815	85.049	816.322	-1989.901	98.381	1053.178	-2035.771	182.297	1367.797	-1933.788	624.893	815.566	-1881.290	375.782	1194.056	-2050.841	182.906	824.843	-1948.549	528.610	830.520	-1964.708	292.037	1639.933	-1882.871	194.946	456.973	-1806.856	273.370	157.586	-2069.334	245.446	39.580	-2031.545
676	2.81667	466.974	-17.242	-1880.097	437.806	35.949	-1981.449	481.041	440.675	-1890.102	560.145	1372.246	-1920.963	635.072	1034.290	-1964.306	479.866	1614.653	-1892.452	372.999	1409.327	-1995.136	358.253	929.060	-2057.702	84.975	817.572	-1984.823	98.709	1054.071	-2030.584	182.505	1368.152	-1928.401	623.370	817.746	-1870.699	376.074	1194.598	-2044.827	183.036	824.632	-1942.733	529.265	830.515	-1959.898	291.536	1639.970	-1877.388	197.020	458.691	-1796.743	272.226	148.873	-2052.350	246.942	40.169	-2011.984
677	2.82083	466.813	-17.384	-1880.034	437.433	36.554	-1981.251	480.811	440.600	-1889.318	560.049	1373.522	-1914.784	635.070	1035.125	-1956.548	479.424	1615.089	-1886.795	373.084	1409.701	-1989.037	358.934	929.269	-2052.463	85.125	816.780	-1980.097	98.681	1054.799	-2025.144	182.240	1368.544	-1922.109	622.786	819.305	-1859.515	376.561	1194.890	-2038.977	183.247	825.114	-1935.939	528.848	830.888	-1954.564	291.202	1639.966	-1871.839	197.426	460.632	-1787.290	272.484	153.328	-2034.566	247.421	32.862	-1994.731
678	2.82500	466.810	-17.399	-1879.797	437.202	37.393	-1980.926	480.816	440.677	-1888.517	559.679	1374.596	-1908.661	635.141	1035.228	-1948.848	479.439	1615.326	-1881.355	373.312	1410.173	-1983.549	359.223	929.641	-2046.745	85.936	816.584	-1975.783	99.116	1055.084	-2020.642	182.947	1368.914	-1917.240	620.764	820.249	-1849.203	376.698	1195.720	-2032.878	183.694	826.531	-1928.853	528.501	831.346	-1949.578	291.009	1639.943	-1866.120	198.806	461.466	-1777.751	274.120	142.675	-2021.940	248.461	34.808	-1974.086
679	2.82917	466.706	-17.404	-1879.794	436.841	38.010	-1980.540	480.888	440.700	-1887.884	559.590	1375.455	-1902.608	635.217	1035.900	-1941.165	478.912	1615.559	-1875.484	373.126	1410.609	-1977.551	360.011	929.725	-2040.750	86.172	817.622	-1970.664	99.730	1055.617	-2015.397	182.208	1369.423	-1910.668	620.199	822.030	-1837.743	376.705	1195.876	-2027.133	183.757	825.667	-1922.466	528.487	832.101	-1944.570	290.862	1639.871	-1860.620	199.595	463.387	-1768.676	275.837	138.965	-2006.335	246.794	29.763	-1956.150
680	2.83333	466.872	-17.320	-1879.694	436.229	38.749	-1980.274	480.881	440.592	-1887.114	559.313	1375.662	-1896.521	635.333	1036.053	-1934.068	478.397	1615.177	-1870.101	372.966	1410.750	-1971.621	359.600	929.913	-2035.179	86.375	817.988	-1967.788	99.675	1055.817	-2009.922	182.130	1369.937	-1904.914	618.384	824.346	-1827.478	377.113	1195.300	-2021.571	184.079	826.314	-1916.170	529.235	833.029	-1939.738	290.502	1640.071	-1854.789	200.628	464.931	-1759.391	273.187	138.271	-1986.662	250.080	27.656	-1935.923
681	2.83750	466.641	-17.444	-1879.690	435.186	39.245	-1980.701	481.036	440.773	-1886.420	559.296	1376.012	-1890.440	635.485	1036.141	-1926.702	478.488	1615.556	-1864.387	373.021	1410.995	-1965.556	359.879	929.711	-2029.497	86.568	817.673	-1962.958	99.769	1056.351	-2004.488	181.996	1369.498	-1899.535	617.228	826.799	-1816.581	377.398	1195.716	-2015.794	184.813	827.706	-1908.579	529.094	833.307	-1934.786	290.432	1640.707	-1848.699	201.689	466.913	-1750.470	275.262	129.146	-1973.539	247.001	25.269	-1917.359
682	2.84167	466.616	-17.522	-1879.543	435.636	39.559	-1979.774	480.901	440.717	-1885.455	559.277	1375.979	-1884.433	635.165	1037.330	-1918.861	478.278	1615.607	-1858.868	373.016	1411.175	-1959.766	360.191	930.001	-2023.737	86.928	817.503	-1958.546	100.149	1056.339	-1999.606	182.091	1369.682	-1893.638	615.976	827.568	-1806.148	377.753	1196.882	-2009.980	184.718	827.544	-1902.450	529.164	833.050	-1929.969	290.329	1641.461	-1843.105	202.330	467.705	-1741.850	275.782	125.350	-1957.040	246.595	20.709	-1897.255
683	2.84583	466.787	-17.375	-1879.451	435.290	39.847	-1979.675	481.066	440.837	-1884.484	559.117	1375.871	-1878.059	635.130	1036.658	-1912.063	477.994	1615.493	-1853.188	372.661	1411.010	-1953.675	360.475	930.141	-2018.140	87.854	817.592	-1953.342	100.427	1056.115	-1994.378	181.917	1369.512	-1887.498	615.011	829.804	-1795.660	377.581	1197.523	-2003.736	184.953	827.325	-1897.310	529.207	832.672	-1925.111	289.098	1642.180	-1840.160	203.380	469.329	-1733.125	272.780	124.392	-1936.808	247.365	17.724	-1877.017
